Year,Month,Date,Flight_Number,Actual_DepTime,Scheduled_DepTime,Actual_ArrTime,Scheduled_ArrTime,AirTime,ArrivalDelay,DepDelay,Origin,Destination,Distance,Delay
2018,1,1,1321,2003,1955,2211,2225,116,-14,8,IAD,TPA,810,NO
2018,1,2,98,754,735,1002,1000,113,2,19,IAD,TPA,810,NO
2018,1,3,2336,628,620,804,750,76,14,8,IND,BWI,515,NO
2018,1,4,840,1829,1755,1959,1925,77,34,34,IND,BWI,515,YES
2018,1,5,258,1940,1915,2121,2110,87,11,25,IND,JAX,688,NO
2018,1,6,135,1937,1830,2037,1940,230,57,67,IND,LAS,1591,YES
2018,1,7,806,706,700,916,915,106,1,6,IND,MCO,828,NO
2018,1,8,612,1644,1510,1845,1725,107,80,94,IND,MCO,828,YES
2018,1,9,2013,1029,1020,1021,1010,37,11,9,IND,MDW,162,NO
2018,1,10,1112,1452,1425,1640,1625,213,15,27,IND,PHX,1489,YES
2018,1,11,1173,754,745,940,955,205,-15,9,IND,PHX,1489,NO
2018,1,12,2336,1323,1255,1526,1510,110,16,28,IND,TPA,838,YES
2018,1,13,1674,1416,1325,1512,1435,49,37,51,ISP,BWI,220,YES
2018,1,14,1434,1657,1625,1754,1735,47,19,32,ISP,BWI,220,YES
2018,1,15,2324,1900,1840,1956,1950,49,6,20,ISP,BWI,220,NO
2018,1,16,2440,1039,1030,1133,1140,47,-7,9,ISP,BWI,220,NO
2018,1,17,108,1520,1455,1619,1605,50,14,25,ISP,BWI,220,NO
2018,1,18,1560,1422,1255,1657,1610,143,47,87,ISP,FLL,1093,YES
2018,1,19,1197,1954,1925,2239,2235,155,4,29,ISP,FLL,1093,NO
2018,1,20,122,2107,1945,2334,2230,134,64,82,ISP,MCO,972,YES
2018,1,21,1670,1312,1300,1546,1550,140,-4,12,ISP,MCO,972,NO
2018,1,22,520,1449,1430,1715,1720,134,-5,19,ISP,MCO,972,NO
2018,1,23,371,1634,1555,1859,1845,134,14,39,ISP,MCO,972,NO
2018,1,24,214,1812,1650,1927,1815,118,72,82,ISP,MDW,765,YES
2018,1,25,115,1127,1105,1235,1230,114,5,22,ISP,MDW,765,NO
2018,1,26,1450,1424,1355,1531,1520,113,11,29,ISP,MDW,765,NO
2018,1,27,1545,1326,1230,1559,1530,143,29,56,ISP,PBI,1052,YES
2018,1,28,130,1749,1725,2019,2030,138,-11,24,ISP,PBI,1052,NO
2018,1,29,597,726,720,958,1020,140,-22,6,ISP,PBI,1052,NO
2018,1,30,413,646,640,929,955,151,-26,6,ISP,RSW,1101,NO
2018,1,1,2392,1153,1140,1428,1440,143,-12,13,ISP,TPA,1034,NO
2018,1,1,168,1528,1510,1802,1810,144,-8,18,ISP,TPA,1034,NO
2018,1,1,2211,1450,1435,1806,1745,121,21,15,JAN,BWI,888,YES
2018,1,1,136,2245,1730,2354,1850,59,304,315,JAN,HOU,359,YES
2018,1,1,95,2025,1940,2135,2100,60,35,45,JAN,HOU,359,YES
2018,1,1,298,1038,945,1314,1225,81,49,53,JAN,MCO,587,YES
2018,1,1,17,1900,1850,2123,2045,97,38,10,JAN,MDW,666,YES
2018,1,1,617,948,925,959,940,59,19,23,JAX,BHM,365,YES
2018,1,1,1528,646,620,725,655,77,30,26,JAX,BNA,484,YES
2018,1,1,134,1110,1040,1136,1110,72,26,30,JAX,BNA,484,YES
2018,1,2,304,2139,2130,2244,2240,54,4,9,JAX,FLL,318,NO
2018,1,2,451,1738,1730,1841,1840,49,1,8,JAX,FLL,318,NO
2018,1,2,972,1813,1735,1936,1905,125,31,38,JAX,HOU,816,YES
2018,1,2,2459,802,750,1001,955,104,6,12,JAX,IND,688,NO
2018,1,2,144,1734,1650,1941,1905,113,36,44,JAX,PHL,742,YES
2018,1,2,647,712,700,926,915,120,11,12,JAX,PHL,742,NO
2018,1,2,1990,1318,1310,1410,1400,39,10,8,JAX,TPA,180,NO
2018,1,2,699,958,900,1052,950,36,62,58,JAX,TPA,180,YES
2018,1,2,114,1859,1850,1950,1945,38,5,9,JAX,TPA,180,NO
2018,1,2,668,1538,1445,1753,1710,60,43,53,LAS,ABQ,487,YES
2018,1,2,1162,2248,2125,102,2345,60,77,83,LAS,ABQ,487,YES
2018,1,2,1030,1327,1230,1550,1500,65,50,57,LAS,ABQ,487,YES
2018,1,2,262,1614,1600,1833,1825,60,8,14,LAS,ABQ,487,NO
2018,1,2,2134,1832,1655,148,30,243,78,97,LAS,ALB,2237,YES
2018,1,2,730,1229,1155,1633,1555,91,38,34,LAS,AMA,758,YES
2018,1,2,768,1256,1240,1724,1720,131,4,16,LAS,AUS,1090,NO
2018,1,2,2276,2118,2015,144,50,127,54,63,LAS,AUS,1090,YES
2018,1,2,602,905,850,1334,1330,135,4,15,LAS,AUS,1090,NO
2018,1,2,695,1739,1640,114,25,253,49,59,LAS,BDL,2298,YES
2018,1,2,102,1325,1240,1841,1810,178,31,45,LAS,BNA,1588,YES
2018,1,2,5467,1506,1440,2030,2010,183,20,26,LAS,BNA,1588,YES
2018,1,2,108,2039,1930,155,55,177,60,69,LAS,BNA,1588,YES
2018,1,2,730,1611,1535,1849,1825,73,24,36,LAS,BOI,520,YES
2018,1,2,206,1824,1715,117,25,221,52,69,LAS,BUF,1987,YES
2018,1,2,1500,2118,2015,2224,2115,46,69,63,LAS,BUR,223,YES
2018,1,2,1323,1818,1740,1916,1840,46,36,38,LAS,BUR,223,YES
2018,1,2,103,2146,2055,2250,2155,48,55,51,LAS,BUR,223,YES
2018,1,2,7404,2241,1910,2340,2010,43,210,211,LAS,BUR,223,YES
2018,1,2,7419,1409,1355,1513,1500,50,13,14,LAS,BUR,223,NO
2018,1,2,5254,1100,1050,1157,1155,46,2,10,LAS,BUR,223,NO
2018,1,2,480,1306,1250,1406,1355,47,11,16,LAS,BUR,223,NO
2018,1,2,1057,1726,1630,1832,1740,46,52,56,LAS,BUR,223,YES
2018,1,2,2454,1229,1220,1342,1325,47,17,9,LAS,BUR,223,YES
2018,1,2,4354,908,845,1628,1610,244,18,23,LAS,BWI,2106,YES
2018,1,2,425,1817,1730,122,50,230,32,47,LAS,BWI,2106,YES
2018,1,2,89,956,945,1658,1645,213,13,11,LAS,CLE,1825,NO
2018,1,2,2099,1849,1740,121,30,195,51,69,LAS,CMH,1772,YES
2018,1,2,4685,1210,1200,1905,1850,201,15,10,LAS,CMH,1772,YES
2018,1,2,5583,1047,1030,1328,1320,79,8,17,LAS,DEN,629,NO
2018,1,2,5484,2232,2115,108,5,77,63,77,LAS,DEN,629,YES
2018,1,3,7370,1512,1315,1802,1610,88,112,117,LAS,DEN,629,YES
2018,1,3,103,2025,1955,2301,2245,78,16,30,LAS,DEN,629,YES
2018,1,3,5187,1439,1425,1720,1720,85,0,14,LAS,DEN,629,NO
2018,1,3,2859,1627,1600,1916,1900,80,16,27,LAS,DEN,629,YES
2018,1,3,1201,1745,1710,2017,1945,78,32,35,LAS,ELP,584,YES
2018,1,3,1221,1049,1040,1320,1320,73,0,9,LAS,ELP,584,NO
2018,1,3,1607,1117,1050,1325,1325,116,0,27,LAS,GEG,806,NO
2018,1,3,328,1725,1620,1940,1850,116,50,65,LAS,GEG,806,YES
2018,1,3,5764,1824,1735,2303,2230,143,33,49,LAS,HOU,1235,YES
2018,1,3,1279,1150,1140,1644,1640,147,4,10,LAS,HOU,1235,NO
2018,1,3,409,749,740,1227,1235,146,-8,9,LAS,HOU,1235,NO
2018,1,3,5460,2051,2010,134,55,150,39,41,LAS,HOU,1235,YES
2018,1,3,6391,1555,1525,2307,2245,232,22,30,LAS,IAD,2066,YES
2018,1,3,1532,2255,1820,509,55,176,254,275,LAS,IND,1591,YES
2018,1,3,1167,1129,1050,1757,1725,179,32,39,LAS,IND,1591,YES
2018,1,3,1012,1602,1510,2357,2255,269,62,52,LAS,ISP,2283,YES
2018,1,3,2001,1738,1715,1838,1820,42,18,23,LAS,LAX,236,YES
2018,1,3,2807,2207,2150,2306,2255,40,11,17,LAS,LAX,236,NO
2018,1,3,2023,1851,1825,2004,1930,41,34,26,LAS,LAX,236,YES
2018,1,3,4557,701,645,802,745,42,17,16,LAS,LAX,236,YES
2018,1,3,5241,1556,1455,1704,1600,41,64,61,LAS,LAX,236,YES
2018,1,3,5498,1540,1525,1648,1630,47,18,15,LAS,LAX,236,YES
2018,1,3,6512,1228,1200,1340,1310,43,30,28,LAS,LAX,236,YES
2018,1,3,1577,2047,2005,2209,2115,45,54,42,LAS,LAX,236,YES
2018,1,3,4986,2158,2120,2303,2225,44,38,38,LAS,LAX,236,YES
2018,1,3,727,1147,1100,1541,1500,90,41,47,LAS,LBB,775,YES
2018,1,3,1012,859,850,1343,1345,148,-2,9,LAS,LIT,1295,NO
2018,1,3,824,1140,1110,1537,1510,95,27,30,LAS,MAF,796,YES
2018,1,3,941,1226,1210,1721,1700,139,21,16,LAS,MCI,1140,YES
2018,1,3,2079,2118,2005,154,50,131,64,73,LAS,MCI,1140,YES
2018,1,3,3268,2003,1905,26,2350,130,36,58,LAS,MCI,1140,YES
2018,1,3,4160,1622,1510,2059,2000,130,59,72,LAS,MCI,1140,YES
2018,1,3,6285,1003,940,1441,1430,136,11,23,LAS,MCI,1140,NO
2018,1,3,5184,1319,1300,2033,2025,234,8,19,LAS,MCO,2039,NO
2018,1,3,6358,1506,1500,2122,2030,177,52,6,LAS,MDW,1521,YES
2018,1,3,161,1424,1415,1941,1945,177,-4,9,LAS,MDW,1521,NO
2018,1,3,4833,1211,1145,1750,1720,175,30,26,LAS,MDW,1521,YES
2018,1,3,1119,814,755,1334,1320,181,14,19,LAS,MDW,1521,NO
2018,1,3,1237,1708,1700,2214,2230,169,-16,8,LAS,MDW,1521,NO
2018,1,3,1540,1919,1845,31,5,171,26,34,LAS,MDW,1521,YES
2018,1,4,1433,1945,1815,52,2335,168,77,90,LAS,MDW,1521,YES
2018,1,4,2299,2057,1930,202,50,171,72,87,LAS,MDW,1521,YES
2018,1,4,721,1354,1310,1907,1845,177,22,44,LAS,MDW,1521,YES
2018,1,4,917,1703,1645,33,35,257,-2,18,LAS,MHT,2356,NO
2018,1,4,939,1903,1825,5,2340,166,25,38,LAS,MSY,1501,YES
2018,1,4,1890,1354,1345,1525,1520,74,5,9,LAS,OAK,407,NO
2018,1,4,4646,1944,1740,2110,1915,72,115,124,LAS,OAK,407,YES
2018,1,4,365,1251,1205,1425,1345,76,40,46,LAS,OAK,407,YES
2018,1,4,117,1548,1505,1728,1635,78,53,43,LAS,OAK,407,YES
2018,1,4,2926,2216,2125,2348,2255,78,53,51,LAS,OAK,407,YES
2018,1,4,2599,2010,1900,2203,2030,77,93,70,LAS,OAK,407,YES
2018,1,4,5482,1433,1420,1608,1555,79,13,13,LAS,OAK,407,NO
2018,1,4,6457,935,925,1106,1055,71,11,10,LAS,OAK,407,NO
2018,1,4,218,2035,2020,2209,2150,81,19,15,LAS,OAK,407,YES
2018,1,4,515,1152,1145,1616,1605,116,11,7,LAS,OKC,987,NO
2018,1,4,228,1435,1315,1859,1755,132,64,80,LAS,OMA,1099,YES
2018,1,4,641,2049,1920,106,2355,125,71,89,LAS,OMA,1099,YES
2018,1,4,495,2015,1945,2101,2040,34,21,30,LAS,ONT,197,YES
2018,1,4,507,1102,1030,1152,1125,36,27,32,LAS,ONT,197,YES
2018,1,4,1553,2218,2120,2308,2210,36,58,58,LAS,ONT,197,YES
2018,1,4,403,851,835,938,930,34,8,16,LAS,ONT,197,NO
2018,1,4,446,1230,1215,1331,1310,36,21,15,LAS,ONT,197,YES
2018,1,4,1178,1838,1800,1930,1855,32,35,38,LAS,ONT,197,YES
2018,1,4,2410,1358,1330,1449,1425,37,24,28,LAS,ONT,197,YES
2018,1,4,2453,1757,1655,108,25,237,43,62,LAS,ORF,2155,YES
2018,1,4,2228,1816,1755,2022,2015,112,7,21,LAS,PDX,762,NO
